replicate_id,seed,stopped_reason,final_time,Glucose_final,ATP_final,G6P_final,ADP_final,Hexokinase_firings
0,42,deadlock,,9.09011e-11,2950,150,150,
1,43,deadlock,,9.09011e-11,2950,150,150,
2,44,deadlock,,9.09011e-11,2950,150,150,
3,45,deadlock,,9.09011e-11,2950,150,150,
4,46,deadlock,,9.09011e-11,2950,150,150,
5,47,deadlock,,9.09011e-11,2950,150,150,
6,48,deadlock,,9.09011e-11,2950,150,150,
7,49,deadlock,,9.09011e-11,2950,150,150,
8,50,deadlock,,9.09011e-11,2950,150,150,
9,51,deadlock,,9.09011e-11,2950,150,150,
