Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
0.000000,5000.000000,3000.000000,100.000000,100.000000,0
0.003000,4999.997000,2999.997000,100.003000,100.003000,1
0.006000,4999.994001,2999.994001,100.005999,100.005999,2
0.009000,4999.991001,2999.991001,100.008999,100.008999,3
0.012000,4999.988002,2999.988002,100.011998,100.011998,4
0.015000,4999.985002,2999.985002,100.014998,100.014998,5
0.018000,4999.982003,2999.982003,100.017997,100.017997,6
0.021000,4999.979003,2999.979003,100.020997,100.020997,7
0.024000,4999.976004,2999.976004,100.023996,100.023996,8
0.027000,4999.973004,2999.973004,100.026996,100.026996,9
0.030000,4999.970005,2999.970005,100.029995,100.029995,10
0.033000,4999.967005,2999.967005,100.032995,100.032995,11
0.036000,4999.964006,2999.964006,100.035994,100.035994,12
0.039000,4999.961006,2999.961006,100.038994,100.038994,13
0.042000,4999.958006,2999.958006,100.041994,100.041994,14
0.045000,4999.955007,2999.955007,100.044993,100.044993,15
0.048000,4999.952007,2999.952007,100.047993,100.047993,16
0.051000,4999.949008,2999.949008,100.050992,100.050992,17
0.054000,4999.946008,2999.946008,100.053992,100.053992,18
0.057000,4999.943009,2999.943009,100.056991,100.056991,19
0.060000,4999.940009,2999.940009,100.059991,100.059991,20
0.063000,4999.937010,2999.937010,100.062990,100.062990,21
0.066000,4999.934010,2999.934010,100.065990,100.065990,22
0.069000,4999.931011,2999.931011,100.068989,100.068989,23
0.072000,4999.928011,2999.928011,100.071989,100.071989,24
0.075000,4999.925011,2999.925011,100.074989,100.074989,25
0.078000,4999.922012,2999.922012,100.077988,100.077988,26
0.081000,4999.919012,2999.919012,100.080988,100.080988,27
0.084000,4999.916013,2999.916013,100.083987,100.083987,28
0.087000,4999.913013,2999.913013,100.086987,100.086987,29
0.090000,4999.910014,2999.910014,100.089986,100.089986,30
0.093000,4999.907014,2999.907014,100.092986,100.092986,31
0.096000,4999.904015,2999.904015,100.095985,100.095985,32
0.099000,4999.901015,2999.901015,100.098985,100.098985,33
0.102000,4999.898016,2999.898016,100.101984,100.101984,34
0.105000,4999.895016,2999.895016,100.104984,100.104984,35
0.108000,4999.892017,2999.892017,100.107983,100.107983,36
0.111000,4999.889017,2999.889017,100.110983,100.110983,37
0.114000,4999.886017,2999.886017,100.113983,100.113983,38
0.117000,4999.883018,2999.883018,100.116982,100.116982,39
