Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,0.000000,20.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,0.000005,19.993520,0.000540,0.000000,1.000000,0.000000,0.000000,999.999996,0.000004,800.000000,0.000000,600.000000,0.000000,5000.000000,0.027000,1.6199994978001508e-05,1.8000000000000002e-13,3.23970846254486e-06,5.4000002699999995e-06,0,0,0,5.4e-15,0.0005399999999999999,0,0.004319999999999999,0,0.010799611130024396,0.026999999999999996,3.240648000184038e-06,0,0,3.382560337160057e-10,0,0,4.212168486739469e-13,0
0.108000,0.000011,19.994242,0.001080,0.000000,1.000000,0.000000,0.000000,999.999980,0.000020,800.000000,0.000000,600.000000,0.000000,4999.999993,0.054002,8.909993829107954e-05,1.8000000000000002e-13,1.2957214068502306e-05,1.0800000539999999e-05,0,7.127341750431536e-10,0,2.16e-14,0.00108,6.480003044304302e-08,0.00864,1.8294610235089452e-09,0.01439844480002099,0.054,1.7823822722862847e-05,0,0,3.382560337160057e-10,0,0,8.424336973463783e-13,2.212949230496929e-29
0.162000,0.000016,19.994962,0.001620,0.000000,1.000000,0.000000,0.000000,999.999968,0.000032,800.000000,0.000000,600.000000,0.000000,5000.000022,0.081002,0.00014579986856160716,1.8000000000000002e-13,5.505839420656247e-05,1.6200000809999997e-05,0,1.4254426916560056e-09,0,3.78e-14,0.0016200000000000001,2.7537967984578974e-07,0.012960000000000001,7.317432490062063e-09,0.017997667479956986,0.08099999999999999,3.0786501019741496e-05,0,0,3.382560337160057e-10,1.5162283958009544e-07,0,1.2636505459915458e-12,1.5045260597841482e-28
0.216000,0.000021,19.995683,0.002159,0.000000,1.000000,0.000000,0.000000,999.999948,0.000052,800.000000,0.000000,600.000000,0.000000,5000.000032,0.107987,0.00023215312397318466,2.7e-13,8.419548263602022e-05,2.160000107999999e-05,6.103512305175598e-07,1.4254426916560056e-09,5.458373099083412e-12,5.4000000000000003e-14,0.00216,5.831170526173391e-07,0.01728,7.317432490062063e-09,0.02159701989981059,0.10799999999999997,6.480772912416594e-05,0,0,3.382560337160057e-10,1.5162283958009544e-07,0,1.2636505459915458e-12,1.5045260597841482e-28
0.270000,0.000026,19.992804,0.002699,0.000000,1.000000,0.000000,0.000000,999.999924,0.000076,800.000000,0.000000,600.000000,0.000000,5000.000046,0.134968,0.0003428062713058727,2.7e-13,0.00012302889822382105,2.7000001349999985e-05,6.103512305175598e-07,1.4254426916560056e-09,5.458373099083412e-12,7.02e-14,0.0027,7.774666723018084e-07,0.0216,7.317432490062063e-09,0.028795595465862096,0.13499999999999998,0.00010854388933931666,0,0,2.3335768942487575e-08,3.930311478789176e-07,1.0273785141473367e-11,1.2636505459915458e-12,2.2477763132984323e-27
0.324000,0.000030,19.997124,0.003239,0.000000,1.000000,0.000000,0.000000,999.999924,0.000076,800.000000,0.000000,600.000000,0.000000,5000.000201,0.161968,0.0003428062713058727,3.6000000000000003e-13,0.00027829068395241835,3.240000161999998e-05,2.106512306323811e-06,6.908695182894025e-09,5.458373099083412e-12,8.639999999999998e-14,0.0032400000000000003,1.020398800520506e-06,0.025920000000000002,2.0220527947255058e-08,0.028795595465862096,0.162,0.00010854388933931666,0,0,2.3335768942487575e-08,3.930311478789176e-07,1.0273785141473367e-11,1.2636505459915458e-12,4.862984883331884e-27
0.378000,0.000035,19.990647,0.003779,0.000000,1.000000,0.000000,0.000000,999.999891,0.000109,800.000000,0.000000,600.000000,0.000000,5000.000294,0.188973,0.000492726890495209,3.6000000000000003e-13,0.0004043975416776134,3.7800001889999974e-05,2.684195115589982e-06,6.908695182894025e-09,5.458373099083412e-12,1.0259999999999996e-13,0.0037800000000000004,1.3443133761807028e-06,0.030240000000000003,2.0220527947255058e-08,0.039592876593785624,0.18900000000000003,0.00013769820520515735,0,0,7.123946937483241e-08,3.930311478789176e-07,1.0273785141473367e-11,1.2636505459915458e-12,1.2231823124554573e-26
0.432000,0.000039,19.994967,0.004318,0.000000,1.000000,0.000000,0.000000,999.999891,0.000109,800.000000,0.000000,600.000000,0.000000,5000.000436,0.215937,0.000492726890495209,3.6000000000000003e-13,0.0005466428128978647,4.320000215999997e-05,4.033603442904673e-06,6.908695182894025e-09,1.960680072803309e-11,1.1879999999999996e-13,0.004319999999999999,1.7168045927255976e-06,0.034559999999999994,3.876364866797976e-08,0.039592876593785624,0.21600000000000005,0.00017333327013934537,0,0,1.356083194561854e-07,3.930311478789176e-07,1.0273785141473367e-11,1.2636505459915458e-12,2.5657183925368236e-26
0.486000,0.000045,19.999287,0.004858,0.000000,1.000000,0.000000,0.000000,999.999768,0.000232,800.000000,0.000000,600.000000,0.000000,5000.000391,0.242977,0.00104577092267649,4.5000000000000005e-13,0.0006242266514864929,4.860000242999996e-05,4.033603442904673e-06,6.908695182894025e-09,1.960680072803309e-11,1.3499999999999998e-13,0.004859999999999998,1.7168045927255976e-06,0.038879999999999984,3.876364866797976e-08,0.039592876593785624,0.24300000000000008,0.0002559598265898407,0,0,1.356083194561854e-07,3.930311478789176e-07,9.015983830384828e-11,1.2636505459915458e-12,4.8274075575503736e-26
0.540000,0.000048,19.996407,0.005398,0.000000,1.000000,0.000000,0.000000,999.999723,0.000277,800.000000,0.000000,600.000000,0.000000,5000.000618,0.270022,0.001246318777750168,5.4e-13,0.0008957253652022386,5.400000269999996e-05,5.720171097999125e-06,6.908695182894025e-09,1.960680072803309e-11,1.512e-13,0.005399999999999997,2.154062285061003e-06,0.043199999999999975,3.876364866797976e-08,0.04679274953465305,0.2700000000000001,0.0002559598265898407,0,0,1.356083194561854e-07,3.930311478789176e-07,1.1678581660300617e-10,1.2636505459915458e-12,6.751442895919873e-26
0.594000,0.000052,20.000727,0.005937,0.000000,1.000000,0.000000,0.000000,999.999723,0.000277,799.999998,0.000002,600.000000,0.000000,5000.000819,0.296976,0.001246318777750168,5.4e-13,0.0010992508325490115,5.940000296999995e-05,7.507402373472107e-06,6.908695182894025e-09,5.000320990653558e-11,1.6740000000000002e-13,0.005939999999999996,3.141855239696671e-06,0.047519999999999965,1.3257785773602287e-07,0.04679274953465305,0.2970000000000001,0.00030456374823935295,0,0,1.356083194561854e-07,1.688825791423025e-06,1.1678581660300617e-10,1.2636505459915458e-12,1.0032167591307169e-25
0.648000,0.000056,20.001447,0.006476,0.000000,1.000000,0.000000,0.000000,999.999723,0.000277,799.999997,0.000003,600.000000,0.000000,5000.001039,0.323925,0.001246318777750168,6.3e-13,0.0013220640252724796,6.480000323999996e-05,8.473869185829608e-06,6.908695182894025e-09,5.000320990653558e-11,1.8360000000000005e-13,0.0064799999999999944,4.242891326399627e-06,0.051839999999999956,1.3257785773602287e-07,0.05039288043973681,0.3240000000000001,0.00035801938766904005,0,0,2.7617463383011176e-07,2.9844009214570454e-06,4.334333628916804e-10,1.2636505459915458e-12,1.0032167591307169e-25
