Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,0.000000,20.000000,40.000000,0.000000,0.000000,1.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,0.000005,19.998560,39.957418,0.000000,0.000000,1.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000008,0.026998,1.0799998056000352e-07,6.000000000000001e-14,8.277903234393e-06,5.400000000000001e-06,3.239913600810001e-10,0,6e-16,1.0799999999999999e-14,0.005399999999999999,0.04798200334778938,0.00432,6.098650196002611e-12,0.005759723532165173,0.026999999999999996,2.33991576144774e-06,0,0,0,2.6001040041601666e-13,2.2587597408751734e-15,1.872074883027949e-12,7.0601836677196654e-15
0.108000,0.000011,20.000960,39.902915,0.000000,0.000000,1.000000,0.000000,999.999999,0.000001,800.000000,0.000000,600.000000,0.000000,5000.000019,0.053984,1.403906114370522e-06,9.000000000000002e-14,2.051215166996873e-05,1.0799999999999998e-05,7.199665208909875e-10,9.934471456021879e-12,6e-16,2.6999999999999992e-14,0.010799999999999999,0.10788541821171455,0.008640000000000002,7.724437996983516e-11,0.007679746600917288,0.05400000000000001,1.727745368924926e-05,0,0,0,7.955393421316923e-09,2.476412655089706e-13,2.3400936038469032e-12,1.4119621939799212e-14
0.162000,0.000016,20.005280,39.848492,0.000000,0.000000,1.000000,0.000000,999.999995,0.000005,800.000000,0.000000,600.000000,0.000000,5000.000040,0.080964,4.607703060801383e-06,1.8000000000000002e-13,4.424685985011153e-05,1.6199999999999994e-05,1.1519449218953606e-09,5.3988025692244736e-11,4.402662438455887e-13,4.3200000000000014e-14,0.0162,0.16770820661376826,0.012959999999999998,6.341867180175525e-10,0.007679746600917288,0.08100000000000003,4.102900483709019e-05,0,0,0,2.442655937754284e-08,5.097856759630136e-13,1.1665720384298192e-10,1.647258589249632e-14
0.216000,0.000022,20.009600,39.818036,0.000000,0.000000,1.000000,0.000000,999.999992,0.000008,800.000000,0.000000,600.000000,0.000000,5000.000082,0.107940,8.207267100459048e-06,3.8762746368881857e-13,8.9897962173624e-05,2.1600000000000003e-05,2.7897958904000098e-09,1.6455571954748532e-10,7.305430528311601e-13,5.940000000000003e-14,0.021599999999999998,0.20356379061698948,0.01728,1.4188035364265685e-09,0.007679746600917288,0.10800000000000005,6.837519307125977e-05,0,0,0,4.838370760630596e-08,3.7991758002073905e-12,2.3097104582245036e-10,3.006643242399851e-14
0.270000,0.000027,20.012960,39.787608,0.000000,0.000000,1.000000,0.000000,999.999987,0.000013,800.000000,0.000000,600.000000,0.000000,5000.000207,0.134944,1.2526582778557881e-05,8.666902802558558e-13,0.0002192797360162497,2.7000000000000013e-05,4.967482176917849e-09,5.583989248373723e-10,1.6013630298645507e-12,7.560000000000005e-14,0.026999999999999996,0.2393919730327446,0.02160000000000001,2.500151321753015e-09,0.008640391733080443,0.13500000000000006,6.837519307125977e-05,0,0,0,4.838370760630596e-08,3.7991758002073905e-12,9.102364409280568e-10,7.296001345706143e-14
0.324000,0.000032,20.015358,39.757207,0.000000,0.000000,1.000000,0.000000,999.999982,0.000018,800.000000,0.000000,600.000000,0.000000,5000.000307,0.161923,1.7817324217699375e-05,1.4121608528592528e-12,0.00032491724916328883,3.240000000000002e-05,7.504961677662996e-09,7.086812155771078e-10,2.6253994874747417e-12,9.180000000000007e-14,0.0324,0.275193497867178,0.025920000000000023,4.309099759526052e-09,0.010561681905615128,0.1620000000000001,9.482408013509806e-05,0,0,0,1.3165849339879454e-07,8.70133561855463e-12,1.5263837482492621e-09,1.584946304060375e-13
0.378000,0.000038,20.019678,39.703004,0.000000,0.000000,1.000000,0.000000,999.999976,0.000024,800.000000,0.000000,600.000000,0.000000,5000.000381,0.188876,2.3971715665335466e-05,2.6964821120408362e-12,0.0004057415785725053,3.780000000000003e-05,1.0618197152250003e-08,9.224288928177991e-10,6.4652352602023355e-12,1.080000000000001e-13,0.03780000000000003,0.3347958762734419,0.030240000000000034,9.365650534890882e-09,0.010561681905615128,0.1890000000000001,0.00014825627948249868,0,0,0,2.506622568822033e-07,8.70133561855463e-12,2.142513438997722e-09,2.4471769148960536e-13
0.432000,0.000043,20.018233,39.672680,0.000000,0.000000,1.000000,0.000000,999.999967,0.000033,799.999999,0.000001,600.000000,0.000000,5000.000517,0.215851,3.35091290937893e-05,3.980002703924085e-12,0.0005518607516894544,4.320000000000004e-05,1.1895878606335436e-08,1.2946147543577002e-09,8.787488534449708e-12,1.2420000000000012e-13,0.04320000000000006,0.3705198408136958,0.03456000000000004,9.365650534890882e-09,0.016327141239986995,0.21600000000000014,0.00018351267556108558,0,0,0,5.548003783737853e-07,1.9267798905159385e-11,2.142513438997722e-09,4.459081771042086e-13
0.486000,0.000049,20.020631,39.594838,0.000000,0.000000,1.000000,0.000000,999.999961,0.000039,799.999999,0.000001,600.000000,0.000000,5000.000593,0.242775,3.897935359538556e-05,5.53223400884606e-12,0.0006336875527931991,4.860000000000005e-05,1.5980688670545823e-08,1.7280982573375018e-09,1.6008319371481934e-11,1.4040000000000014e-13,0.04860000000000009,0.4537622030485553,0.03888000000000005,1.1406147746654597e-08,0.018248960672419445,0.24300000000000016,0.0002655282839176155,0,0,0,6.487308670070704e-07,6.323553909205474e-11,1.1250358127867835e-08,6.389405235909412e-13
0.540000,0.000054,20.023990,39.588358,0.000000,0.000000,1.000000,0.000000,999.999958,0.000042,799.999999,0.000001,600.000000,0.000000,5000.000773,0.269732,4.193038012473473e-05,2.3536067315637334e-11,0.0008166453538797255,5.400000000000006e-05,2.055111545305751e-08,2.6986658172798035e-09,3.0815189047231985e-11,1.5660000000000016e-13,0.05400000000000012,0.4656419143876407,0.043200000000000065,1.377378603494565e-08,0.019209974002307166,0.2700000000000002,0.00031138548305733124,0,0,0,8.590276104538554e-07,1.0204929662532009e-10,2.2800130313322024e-08,1.8610086022557098e-12
0.594000,0.000059,20.026388,39.558137,0.000000,0.000000,1.000000,0.000000,999.999951,0.000049,799.999999,0.000001,600.000000,0.000000,5000.000966,0.296688,4.862367228368473e-05,3.9609801748674084e-11,0.0010167714362363087,5.940000000000007e-05,2.5715113089676998e-08,3.782292476846273e-09,4.399313283325474e-11,1.7280000000000018e-13,0.05940000000000015,0.5012625486608943,0.047520000000000076,1.9069789476562045e-08,0.02113236914952992,0.2970000000000002,0.0003631753589207173,0,0,0,1.220205147855678e-06,1.2145556445990995e-10,2.6819918548138828e-08,4.380195214873038e-12
0.648000,0.000065,20.028785,39.504232,0.000000,0.000000,1.000000,0.000000,999.999944,0.000056,799.999998,0.000002,600.000000,0.000000,5000.001109,0.323605,5.589232832381038e-05,5.90980454331412e-11,0.0011680236732059034,6.480000000000007e-05,2.9367516746035223e-08,4.452690808201095e-09,8.408007971298085e-11,1.890000000000002e-13,0.06480000000000018,0.5605677619515509,0.05184000000000009,2.201841843167375e-08,0.023055040540188542,0.32400000000000023,0.0004539722769416378,0,0,0,1.6559814985939055e-06,1.2145556445990995e-10,3.9599401787464946e-08,5.939346592863795e-12
0.702000,0.000070,20.028298,39.485933,0.000000,0.000000,1.000000,0.000000,999.999940,0.000060,799.999998,0.000002,600.000000,0.000000,5000.001306,0.350531,5.985053993908527e-05,1.225557033970881e-10,0.0013708240946330105,7.020000000000008e-05,3.346969370146123e-08,5.1705796341592394e-09,9.488627773436354e-11,2.0578288954618307e-13,0.0702000000000002,0.5842672859134784,0.0561600000000001,2.539783746271535e-08,0.027862017374014905,0.35100000000000026,0.000533431105077286,0,0,0,2.2678617738276876e-06,1.7269438151750995e-10,5.7913580534614556e-08,9.553172050994188e-12
0.756000,0.000076,20.031656,39.455805,0.000000,0.000000,1.000000,0.000000,999.999936,0.000064,799.999998,0.000002,600.000000,0.000000,5000.001475,0.377427,6.424011401296055e-05,2.4736145788576906e-10,0.0015445401596457283,7.560000000000009e-05,4.2141293046612346e-08,5.888378742143062e-09,1.2209701898453854e-10,2.3279490687199596e-13,0.07560000000000024,0.6197948651664436,0.06048000000000011,3.553488636305521e-08,0.02882355999718095,0.3780000000000003,0.000641998425657583,0,0,0,2.4347850490351005e-06,2.7894354359195216e-10,8.975150981368107e-08,1.1160591657277962e-11
0.810000,0.000081,20.034053,39.425704,0.000000,0.000000,1.000000,0.000000,999.999927,0.000073,799.999997,0.000003,600.000000,0.000000,5000.001746,0.404369,7.352284645074183e-05,3.08854658780341e-10,0.0018259473257052359,8.10000000000001e-05,4.683669548695672e-08,8.422051845399011e-09,1.3770486268703924e-10,2.785635341744716e-13,0.08100000000000027,0.6552955176777139,0.0648000000000001,4.745489690587331e-08,0.030746714140272937,0.4050000000000003,0.0007110121226563361,0,0,0,2.97153466373621e-06,2.7894354359195216e-10,1.1577423057652639e-07,2.110045287309406e-11
0.864000,0.000086,20.036450,39.419277,0.000000,0.000000,1.000000,0.000000,999.999922,0.000078,799.999997,0.000003,600.000000,0.000000,5000.001991,0.431275,7.8379996571962e-05,4.562347542243262e-10,0.002076122741469647,8.640000000000011e-05,5.683862876530513e-08,8.422051845399011e-09,1.936271777513537e-10,3.422768365937556e-13,0.0864000000000003,0.6671234090224105,0.06912000000000004,5.630431902654911e-08,0.03267009837393894,0.43200000000000033,0.0008102130525944942,0,0,0,3.3788248802194664e-06,4.2242397149572213e-10,1.4548990405630623e-07,3.3691955557603995e-11
0.918000,0.000092,20.037885,39.401027,0.000000,0.000000,1.000000,0.000000,999.999906,0.000094,799.999996,0.000004,600.000000,0.000000,5000.002289,0.458212,9.43174612340515e-05,5.86692522025731e-10,0.0023924352386659135,9.180000000000012e-05,5.9536923606442176e-08,9.487839497408624e-09,2.191917422152576e-10,4.317817001245327e-13,0.09180000000000033,0.6907734070801038,0.07343999999999999,7.136517984245691e-08,0.03555539298783539,0.45900000000000035,0.0008907202963782337,0,0,0,4.261473082003571e-06,5.187108418324797e-10,1.6543094279235257e-07,4.731623346968541e-11
0.972000,0.000097,20.042205,39.359164,0.000000,0.000000,1.000000,0.000000,999.999889,0.000111,799.999995,0.000005,600.000000,0.000000,5000.002607,0.485144,0.00011122591811267644,6.480921409808692e-10,0.0027272587948042413,9.720000000000013e-05,6.80273148865443e-08,1.6877049946465267e-08,2.7205361120830797e-10,5.30064621942706e-13,0.09720000000000036,0.7380360662062714,0.07775999999999994,7.136517984245691e-08,0.03555539298783539,0.4860000000000004,0.0009764361869720325,0,0,0,4.550442605265564e-06,6.215296900687794e-10,2.053129006703577e-07,6.562078682882654e-11
