Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,0.000000,20.000000,40.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,0.000005,20.001440,39.957418,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000003,0.026995,1.80001411893779e-07,1.5000000000000002e-13,3.238737132497642e-06,5.400043199459995e-06,1.4400115198559988e-10,2.15989496392055e-12,6e-16,1.0799999999999999e-14,0.005399999999999999,0.04798164356375699,0.00432,1.0164900399876422e-11,0.002880138234470453,0.026999999999999996,4.859518743521229e-06,0,0,0,9.36278364242828e-10,2.566664624573853e-14,9.231886863626547e-12,0
0.108000,0.000011,20.005760,39.938847,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000031,0.053988,1.80001411893779e-07,2.7000000000000006e-13,3.094253905858073e-05,1.080008639891999e-05,8.819751962077229e-10,4.3197640091015325e-12,5.1147540385666577e-14,2.6999999999999992e-14,0.010799999999999999,0.07195339840996665,0.008640000000000002,2.032926966150782e-11,0.002880138234470453,0.05400000000000001,1.2058320935163424e-05,0,0,0,3.276160390405628e-09,2.159651289792969e-13,2.018439838454205e-11,7.059568129072252e-15
0.162000,0.000016,20.005279,39.920286,0.000000,1.000000,0.000000,0.000000,999.999997,0.000003,800.000000,0.000000,600.000000,0.000000,5000.000061,0.080973,3.3477849471607483e-06,3.6000000000000013e-13,6.474709309764512e-05,1.620012959837999e-05,1.7819165182960487e-09,6.436298171410551e-11,1.117978982071e-13,4.3200000000000014e-14,0.0162,0.0959138318747265,0.012959999999999998,2.032926966150782e-11,0.007681497431910935,0.08100000000000003,3.077300350749528e-05,0,0,0,1.0108660082908269e-08,2.159651289792969e-13,3.7706324659726314e-11,1.6472001400153504e-14
0.216000,0.000022,20.007678,39.877801,0.000000,1.000000,0.000000,0.000000,999.999993,0.000007,800.000000,0.000000,600.000000,0.000000,5000.000122,0.107958,6.839319019726469e-06,5.070940716878856e-13,0.0001287500012785251,2.1600172797839998e-05,3.509720834524417e-09,1.174938063015698e-10,2.330920419940885e-13,5.940000000000003e-14,0.021599999999999998,0.14379914214704595,0.01728,3.354234919393212e-10,0.0096020732759958,0.10800000000000005,4.894748986504872e-05,0,0,0,1.0108660082908269e-08,9.009814525796777e-13,1.7963056641623977e-10,2.3790909952146296e-14
0.270000,0.000027,20.011037,39.835366,0.000000,1.000000,0.000000,0.000000,999.999989,0.000011,800.000000,0.000000,600.000000,0.000000,5000.000206,0.134942,1.1410532926181362e-05,7.219157319309984e-13,0.00021751827146294225,2.7000215997300008e-05,5.003500066106577e-09,3.809573563027611e-10,7.204870871153958e-13,7.560000000000005e-14,0.026999999999999996,0.19163421260659907,0.02160000000000001,1.7440807357164618e-09,0.010562626136478551,0.13500000000000006,6.927883869968924e-05,0,0,0,8.123364159371245e-08,2.736097074464163e-12,1.7963056641623977e-10,2.800088244231934e-14
0.324000,0.000032,20.012476,39.804924,0.000000,1.000000,0.000000,0.000000,999.999985,0.000015,800.000000,0.000000,600.000000,0.000000,5000.000291,0.161911,1.4865898291510418e-05,1.314000355777697e-12,0.00030626072937306887,3.240025919676002e-05,6.803188340218403e-09,5.593138057341675e-10,7.204870871153958e-13,9.180000000000007e-14,0.0324,0.22747636712606156,0.025920000000000023,2.4798815369138993e-09,0.013444491908754961,0.1620000000000001,0.00010418230735837652,0,0,0,1.151061857297999e-07,1.3137095223673603e-11,2.3343059864302587e-09,1.9688173934665296e-13
0.378000,0.000038,20.014874,39.786443,0.000000,1.000000,0.000000,0.000000,999.999981,0.000019,800.000000,0.000000,600.000000,0.000000,5000.000369,0.188863,1.9041038090965945e-05,5.405439414581148e-12,0.0003885088088184017,3.780030239622003e-05,1.0042506951491508e-08,9.660961562673726e-10,1.64289533272922e-12,1.080000000000001e-13,0.03780000000000003,0.25135699875465894,0.030240000000000034,4.630307918393257e-09,0.015365804725470387,0.1890000000000001,0.00015689019670814107,0,0,0,2.0324588755647675e-07,2.032853243647976e-11,3.5924668441105956e-09,4.3322092304215767e-13
0.432000,0.000043,20.018233,39.756044,0.000000,1.000000,0.000000,0.000000,999.999972,0.000028,800.000000,0.000000,600.000000,0.000000,5000.000456,0.215812,2.8506316228572494e-05,9.707456843216271e-12,0.0004854330327656966,4.320034559568004e-05,1.3623527048820913e-08,1.5624115523065214e-09,2.8622112818721427e-12,1.2420000000000012e-13,0.04320000000000006,0.2871556760824033,0.03456000000000004,9.052781791759443e-09,0.016326656926843562,0.21600000000000014,0.00021678381736819783,0,0,0,2.773418593704365e-07,2.95110733629541e-11,4.543565626089923e-09,6.24129718229056e-13
0.486000,0.000049,20.020631,39.725673,0.000000,1.000000,0.000000,0.000000,999.999963,0.000037,800.000000,0.000000,600.000000,0.000000,5000.000527,0.242737,3.667572354471318e-05,2.0641655632044446e-11,0.0005647479875432288,4.8600388795140047e-05,1.6430690532845723e-08,1.9043599647292625e-09,6.716916886223467e-12,1.4040000000000014e-13,0.04860000000000009,0.32292718253740715,0.03888000000000005,1.4789682319609759e-08,0.01824852248355712,0.24300000000000016,0.0003000461042147485,0,0,0,3.6518373505987897e-07,3.776101891811121e-11,8.848216599874937e-09,8.31879930842292e-13
0.540000,0.000054,20.024951,39.707240,0.000000,1.000000,0.000000,0.000000,999.999948,0.000052,800.000000,0.000000,600.000000,0.000000,5000.000633,0.269676,5.1826300712376436e-05,2.593653341803634e-11,0.0006856280609656085,5.4000431994600056e-05,1.943568447354654e-08,2.9983675219938717e-09,1.1906526813004776e-11,1.5660000000000016e-13,0.05400000000000012,0.3467602709173311,0.043200000000000065,1.77161630410651e-08,0.01824852248355712,0.2700000000000002,0.000377001564650403,0,0,0,4.998836479736336e-07,7.075974922215941e-11,1.0556971997289987e-08,1.9098560258216632e-12
