Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,0.000000,20.000000,40.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,0.000005,19.998560,39.957355,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.026995,0,0,3.5999999999963994e-14,5.4000002699999995e-06,6.480000323999999e-08,0,0,0,0.0005399999999999999,0.0431847737729364,0.004319999999999999,0,0.005759999970140159,0.026999999999999996,4.859708403706013e-06,0,0,0,2.709138465873083e-12,2.6085131452704597e-13,2.438567070383426e-12,0
0.108000,0.000010,20.002880,39.929131,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000013,0.053982,0,0,1.2951839857970945e-05,1.0800000539999999e-05,3.1993861119692974e-07,0,3.6e-15,0,0.00108,0.07194902066258257,0.00864,0,0.005759999970140159,0.054,1.781708427081708e-05,0,0,0,5.419797129850713e-12,5.216605645040463e-13,2.438567070383426e-12,2.8238388902149375e-13
0.162000,0.000016,20.007200,39.915296,0.000000,1.000000,0.000000,0.000000,999.999990,0.000010,800.000000,0.000000,600.000000,0.000000,5000.000048,0.080981,4.0976868927380083e-05,9.000000000000001e-14,5.827334690320036e-05,1.6200000809999997e-05,5.40979727535385e-07,0,7.2e-15,1.08e-14,0.0016200000000000001,0.08632363741514404,0.012960000000000001,7.27638093400985e-08,0.005759999970140159,0.08099999999999999,2.9155763609624525e-05,0,0,0,5.419797129850713e-12,5.216605645040463e-13,4.878488258697027e-12,5.647601398816393e-13
0.216000,0.000021,20.011520,39.887102,0.000000,1.000000,0.000000,0.000000,999.999972,0.000028,800.000000,0.000000,600.000000,0.000000,5000.000127,0.107999,0.00010925048524692714,9.000000000000001e-14,0.00015537838564767424,2.160000107999999e-05,8.876421102597479e-07,0,7.2e-15,2.7000000000000002e-14,0.00216,0.11505767215046854,0.01728,7.27638093400985e-08,0.005759999970140159,0.10799999999999997,2.9155763609624525e-05,0,0,0,2.8218916663862203e-07,2.20228084372316e-09,4.878488258697027e-12,8.471286429082212e-13
0.270000,0.000026,20.015840,39.858929,0.000000,1.000000,0.000000,0.000000,999.999950,0.000050,799.999998,0.000002,600.000000,0.000000,5000.000102,0.134961,0.00019730959314305833,9.000000000000001e-14,0.00015537838564767424,2.7000001349999985e-05,8.876421102597479e-07,0,7.2e-15,4.32e-14,0.0027,0.1437714108347305,0.0216,2.6619430681164474e-07,0.005759999970140159,0.13499999999999998,9.233322402859957e-05,0,0,0,1.643478162365656e-06,7.209250286482706e-09,6.839188488716857e-09,2.0155128042262822e-11
0.324000,0.000032,20.017278,39.859469,0.000000,1.000000,0.000000,0.000000,999.999892,0.000108,799.999998,0.000002,600.000000,0.000000,5000.000092,0.161966,0.0004227759092451849,8.411998458766675e-11,0.00020389904099603378,3.240000161999998e-05,8.876421102597479e-07,0,2.9383261797786434e-11,5.94e-14,0.0032400000000000003,0.1437714108347305,0.025920000000000002,2.6619430681164474e-07,0.008642488290144456,0.162,0.00014579009499775743,0,0,0,1.643478162365656e-06,1.147472195529869e-08,4.67905821832112e-08,1.5208639317854362e-10
0.378000,0.000036,20.015832,39.860009,0.000000,1.000000,0.000000,0.000000,999.999892,0.000108,799.999998,0.000002,600.000000,0.000000,5000.000218,0.188937,0.0004227759092451849,1.2590062639458574e-10,0.0003299920003812912,3.7800001889999974e-05,2.0442770497492406e-06,0,2.9383261797786434e-11,7.83899023133455e-14,0.003780000000000001,0.1437714108347305,0.030240000000000003,2.6619430681164474e-07,0.014407671185390563,0.18900000000000003,0.00017494391498636976,0,0,0,1.643478162365656e-06,1.572901294327669e-08,8.65328874460532e-08,5.266858606171028e-10
0.432000,0.000041,20.020152,39.860549,0.000000,1.000000,0.000000,0.000000,999.999817,0.000183,799.999994,0.000006,600.000000,0.000000,5000.000210,0.215950,0.0007166588234753703,2.0297467195411028e-10,0.00040434008238314885,4.320000215999997e-05,2.0442770497492406e-06,6.585170992710417e-09,5.868221758867689e-11,1.0709577612449308e-13,0.004320000000000002,0.1437714108347305,0.034559999999999994,2.6619430681164474e-07,0.014407671185390563,0.21600000000000005,0.00024458923967118895,0,0,0,5.538232226573421e-06,3.01251876100122e-08,8.65328874460532e-08,1.010728950450486e-09
0.486000,0.000046,20.018707,39.846739,0.000000,1.000000,0.000000,0.000000,999.999817,0.000183,799.999985,0.000015,600.000000,0.000000,5000.000274,0.242890,0.0007166588234753703,2.0297467195411028e-10,0.0004883441274464946,4.860000242999996e-05,2.7850801017337537e-06,6.585170992710417e-09,2.471470427186108e-10,1.3995854881171472e-13,0.004860000000000003,0.15812133792683,0.038879999999999984,2.6619430681164474e-07,0.02017347463821047,0.24300000000000008,0.0003239459745396892,0,0,0,1.5462662860009424e-05,3.01251876100122e-08,8.65328874460532e-08,1.4918260562781129e-09
