Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,100.000000,15.000000,25.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,100.023994,15.000720,24.997900,0.000000,997.820114,2.179860,799.990080,0.009920,599.999980,0.000020,4997.800784,2.226466,2.180050100539971,0,0.0007140355849669488,0.026994060971898597,0.00300053991900648,2.6158634848828827e-05,0,0,0.005399999999999999,0.007499892000000452,0.00432,0.00016386313756880171,0.0035999999944707982,0.026999999999999996,0.00046363932988473624,0.00991994271290117,1.9877058689798858e-07,1.99006903699734e-05,8.49840804279035e-15
0.108000,100.050974,15.003600,24.997300,0.000000,996.731835,3.268014,799.973077,0.026922,599.999688,0.000312,4996.679098,3.375590,3.26832872969661,1.3128815807210505e-07,0.0018959528418519367,0.05397462848677341,0.00300053991900648,0.000150380735789149,3.145759463089051e-07,1.3892446444948261e-11,0.010799999999999999,0.013499676038877532,0.008640000000000002,0.00016386313756880171,0.005040311027282848,0.05400000000000001,0.001207488841682905,0.026922711099876304,1.9877058689798858e-07,0.00031169819833560565,6.337669677907322e-09
0.162000,100.074938,15.007199,24.999700,0.000001,995.101835,4.897871,799.951848,0.048152,599.999165,0.000834,4995.008404,5.075544,4.8985468164646955,1.0099140167288942e-06,0.00493346256294561,0.08094099023959055,0.006002698386116934,0.0002941216363857327,3.145759463089051e-07,1.1274014513499983e-10,0.0162,0.016499658078831695,0.012959999999999998,0.00038211152949454335,0.005760529892353539,0.08100000000000003,0.0019851181592812663,0.04815585350558739,3.631314687306469e-06,0.0008354218880799808,2.8573409106707042e-08
0.216000,100.098890,15.011519,25.002100,0.000003,994.559989,5.439586,799.951850,0.048150,599.997587,0.002409,4994.464224,5.646630,5.441374498801955,3.341970994719757e-06,0.006735901348013443,0.10789549499939839,0.009005036399983613,0.0004246740463902699,6.034758185786061e-07,4.936425256737872e-10,0.021599999999999998,0.019499676120940997,0.01728,0.0013639886781894707,0.005760529892353539,0.10800000000000005,0.003881704938529609,0.04815585350558739,5.560218024265674e-06,0.002412822032015814,1.261686163075011e-07
0.270000,100.116822,15.014398,25.001500,0.000004,992.933525,7.065972,799.923570,0.076429,599.997230,0.002766,4992.782381,7.355336,7.068111392148164,4.064777162441193e-06,0.008913787518599127,0.13483742974431798,0.018015193019289513,0.0005029632262157726,1.5206555821431703e-06,1.152009052088115e-09,0.027000000000000017,0.025500324140347228,0.02160000000000001,0.0016366666526570909,0.007201877649413412,0.13500000000000006,0.006197253839470044,0.07644033545202215,1.0151201924979814e-05,0.002770516718329554,3.536607104507001e-07
0.324000,100.131742,15.017997,25.002399,0.000006,991.851259,8.148238,799.903798,0.096199,599.996515,0.003479,4991.660892,8.503496,8.151140243096727,5.93876462075721e-06,0.011438080134073046,0.16177166579639013,0.030030017814165727,0.0005029632262157726,3.014967244218417e-06,2.057455615235e-09,0.03240000000000007,0.030000828056085907,0.025920000000000023,0.002399521403717227,0.007922660919286239,0.1620000000000001,0.009050579010691406,0.09621724157924351,1.5137670226681267e-05,0.003485848796586358,6.493841499788729e-07
0.378000,100.149654,15.020875,25.003299,0.000009,991.851668,8.147536,799.882616,0.117379,599.993868,0.006123,4991.617957,8.576106,8.151140243096727,8.955114570648087e-06,0.016166385272244788,0.18869658654410476,0.03904277100299768,0.0007962962654959456,4.423545512411679e-06,3.2486366571374282e-09,0.03780000000000028,0.03450131387572538,0.030240000000000034,0.002808102515196323,0.009364561419054356,0.1890000000000001,0.011103615441714574,0.11740120165029579,1.748669870538982e-05,0.006133333595541279,1.0648860005993855e-06
0.432000,100.173562,15.024474,25.001198,0.000013,990.229752,9.769452,799.810640,0.189351,599.992551,0.007435,4989.853118,10.369084,9.77351882710667,1.318817530408829e-05,0.020301214224588495,0.21560985465582183,0.04204779892045161,0.0007962962654959456,9.350629897453814e-06,4.919051802155403e-09,0.043200000000001015,0.04200179939521608,0.03456000000000004,0.003270977338604787,0.01008570168010624,0.21600000000000014,0.014098816002550257,0.18938205785896092,2.2184833354334904e-05,0.007449900512550363,1.3646088185353308e-06
0.486000,100.200462,15.028073,25.000598,0.000018,987.533903,12.465300,799.754234,0.245753,599.990252,0.009730,4987.041491,13.207289,12.471652627352077,1.7648714759849375e-05,0.02422909576832944,0.24250967454333672,0.04204779892045161,0.0007962962654959456,1.3097353600070648e-05,7.69687409017633e-09,0.04860000000000245,0.048002122928841554,0.03888000000000005,0.005555946085451037,0.010807037726425594,0.24300000000000016,0.018448976179012932,0.24579275640820783,2.7091831003111137e-05,0.009749944841002297,1.911479601801737e-06
