Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),Reset_Phase (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,0.000000,20.000000,40.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,0.000000,19.999520,39.909456,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000010,0.026999,2.568383999416563e-10,9.000000000000002e-14,1.0438175322951904e-05,2.751839999658172e-09,7.338239999110273e-14,6.163725325937507e-15,0,1.0799999999999999e-14,0.005399999999999999,0.095943839136,0.00432,1.497042034976317e-14,0.004799976958894345,0.026999999999999996,1.2600000156828917e-06,0,0,0,1.3355272417958546e-12,0,9.3603744149766e-13,9.412147993258091e-15
0.108000,0.000000,20.002880,39.771347,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000033,0.053989,1.4676039703473047e-09,1.8000000000000002e-13,3.274658299772107e-05,5.503679999168353e-09,1.6510819850743557e-13,1.871132319681798e-14,1.2e-15,2.6999999999999992e-14,0.010799999999999999,0.23945273797203567,0.008640000000000002,1.497042034976317e-14,0.005760115200000318,0.05400000000000001,1.1158877086773345e-05,0,0,0,3.5772986982843096e-12,9.03547265474569e-15,1.872074883193765e-12,1.6470202194507155e-14
0.162000,0.000000,20.006240,39.633734,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000072,0.080973,2.403093087897833e-09,2.4000000000000004e-13,7.230881920107695e-05,8.255519998529967e-09,1.137346299086378e-12,7.154321959872456e-14,2.4e-15,4.3200000000000014e-14,0.0162,0.38246647857412597,0.012959999999999998,2.3354990729602425e-13,0.006720345594470717,0.08100000000000003,2.6994882030497867e-05,0,0,0,3.5772986982843096e-12,1.1294436403930086e-14,2.808112325091584e-12,2.5878717264094784e-14
0.216000,0.000000,20.007679,39.449223,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000140,0.107957,2.403093087897833e-09,2.7000000000000006e-13,0.00013989813295949756,1.1007359997743027e-08,2.329622365038858e-12,1.2920978547175583e-13,2.4e-15,5.940000000000003e-14,0.021599999999999998,0.572377025795746,0.01728,6.406129159664405e-13,0.00960149749051827,0.10800000000000005,4.336907330022826e-05,0,0,0,1.607179332085663e-11,1.3553463817979447e-14,4.212168488689428e-12,3.5283261545351297e-14
0.270000,0.000000,20.009117,39.407282,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000209,0.134926,4.6406735310253115e-09,4.500000000000002e-13,0.0002089106658539664,1.3759199996807576e-08,3.356736310342242e-12,2.3087441146416613e-13,3e-15,7.560000000000005e-14,0.026999999999999996,0.619718253364791,0.02160000000000001,9.927456692621392e-13,0.012482764412959473,0.13500000000000006,7.359602074452287e-05,0,0,0,2.6036813051587142e-11,1.5812516685971297e-14,5.148205932068949e-12,3.998476391436607e-14
0.324000,0.000000,20.012477,39.365387,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000333,0.161909,6.438086146703668e-09,6.000000000000001e-13,0.0003332138010418012,1.6511039995723557e-08,4.246283300136893e-12,2.9688543928823226e-13,4.2000000000000004e-15,9.180000000000007e-14,0.0324,0.6670127514607532,0.025920000000000023,1.5654656486292744e-12,0.01344334028026765,0.1620000000000001,9.068668255777678e-05,0,0,0,5.240282688465218e-11,2.2589891512123324e-14,6.5522620982160434e-12,4.703674495093837e-14
0.378000,0.000000,20.014875,39.276362,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000441,0.188869,9.574386945301019e-09,7.499999999999999e-13,0.00044058393486476506,1.9262879994490977e-08,4.787351111489603e-12,6.150646691469523e-13,5.511588078467974e-15,1.080000000000001e-13,0.03780000000000003,0.7614380346996094,0.030240000000000034,2.043956179682366e-12,0.015364538010854517,0.1890000000000001,0.00013080137933447745,0,0,0,1.1862766214953377e-10,2.484907153823339e-14,7.57534172648133e-12,5.1737186433160555e-14
0.432000,0.000000,20.017274,39.234625,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000537,0.215809,1.2068674300278612e-08,8.399999999999999e-13,0.0005375080703327822,2.2014719993109872e-08,5.95199213780461e-12,8.747015939666479e-13,6.223171887407477e-15,1.2420000000000012e-13,0.04320000000000006,0.8085754290579698,0.03456000000000004,3.2618976852500994e-12,0.01728621945429689,0.21600000000000014,0.00019069517050547137,0,0,0,2.0606132518105008e-10,3.147447691744238e-14,8.947810319729983e-12,6.348726032554231e-14
0.486000,0.000000,20.021594,39.192942,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000729,0.242782,1.2068674300278612e-08,9.9e-13,0.0007287777109212908,2.4766559991580206e-08,7.364225584369625e-12,1.164224231431242e-12,1.16251726647764e-14,1.4040000000000014e-13,0.04860000000000009,0.8556576985431,0.03888000000000005,5.306069848766401e-12,0.01728621945429689,0.24300000000000016,0.00021785147928310138,0,0,0,3.3151970985449113e-10,3.754656097655176e-14,1.2280878319211782e-11,7.05359819337767e-14
0.540000,0.000000,20.022070,39.104331,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000881,0.269721,1.2068674300278612e-08,1.1100000000000003e-12,0.0008808841211489823,2.75183999899021e-08,1.0417749478528974e-11,1.598433837131818e-12,1.16251726647764e-14,1.5660000000000016e-13,0.05400000000000012,0.9496686422296823,0.043200000000000065,6.668675396091361e-12,0.02113043427834119,0.2700000000000002,0.00027917382451187074,0,0,0,3.6287979453075146e-10,3.754656097655176e-14,1.8633026127051194e-11,7.758405742155105e-14
0.594000,0.000000,20.025428,38.969117,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.001046,0.296652,1.557123130128347e-08,1.1700000000000005e-12,0.0010462175925394787,3.0270239988075526e-08,1.2994293308555722e-11,2.240201442185345e-12,1.635540445201308e-14,1.7280000000000018e-13,0.05940000000000015,1.090282570250474,0.047520000000000076,8.031109577138629e-12,0.022091677937495828,0.2970000000000002,0.000348400665995637,0,0,0,3.9423633656485903e-10,3.754656097655176e-14,2.4167591083562517e-11,8.697898993049507e-14
0.648000,0.000000,20.028787,38.927753,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.001157,0.323541,1.94771703419162e-08,1.3200000000000008e-12,0.0011569707833362106,3.3022079986100436e-08,1.3947874679366363e-11,2.636956158536664e-12,2.466419314987855e-14,1.890000000000002e-13,0.06480000000000018,1.1370469511661732,0.05184000000000009,9.789061552979374e-12,0.023053036736954826,0.32400000000000023,0.0004594989061679468,0,0,0,5.15603797343394e-10,4.8281503654651985e-14,2.9702133904861113e-11,9.402389185170544e-14
0.702000,0.000000,20.031184,38.746624,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.001357,0.350460,2.760068596226937e-08,1.350000000000001e-12,0.001356887574509302,3.577391998397684e-08,1.599254249868356e-11,2.9431175542718607e-12,2.7757378259758086e-14,2.0520000000000023e-13,0.0702000000000002,1.3235763260483608,0.0561600000000001,1.4001184371359216e-11,0.02497593845910291,0.35100000000000026,0.0005403814933131609,0,0,0,5.15603797343394e-10,7.157928379403401e-14,3.6940269703306694e-11,1.0341562969214222e-13
0.756000,0.000000,20.030697,38.612692,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.001576,0.377374,3.209324299541403e-08,1.380000000000001e-12,0.001576036162796053,3.852575998170476e-08,1.8183849963000232e-11,3.328012935951396e-12,2.7757378259758086e-14,2.2140000000000025e-13,0.07560000000000024,1.462907645040554,0.06048000000000011,1.568473789848063e-11,0.029783352799850053,0.3780000000000003,0.0006261041851960298,0,0,0,7.424413293630059e-10,9.973782933662043e-14,4.2772457822837735e-11,1.1515059113973122e-13
0.810000,0.000000,20.033094,38.618092,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.001716,0.404234,3.691553123787587e-08,1.5300000000000014e-12,0.0017163510750893235,4.127759997928428e-08,2.1704463544666087e-11,3.741485464592725e-12,4.1118947104821716e-14,2.3760000000000027e-13,0.08100000000000027,1.462907645040554,0.0648000000000001,1.9580889398769276e-11,0.031706414805044346,0.4050000000000003,0.0007658981106391625,0,0,0,8.383703301858377e-10,1.1651140279960705e-13,5.3194836055625375e-11,1.245368653371324e-13
0.864000,0.000000,20.036452,38.346261,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.001915,0.431109,4.7018374216220464e-08,1.6200000000000016e-12,0.0019152850637542448,4.402943997671536e-08,2.682922730128614e-11,4.777337136930956e-12,5.264322714507998e-14,2.538000000000003e-13,0.0864000000000003,1.740138754513609,0.06912000000000004,2.44606087506701e-11,0.0326680032971337,0.43200000000000033,0.0008907534797072307,0,0,0,9.60546973766297e-10,1.571546685197708e-13,5.3194836055625375e-11,1.245368653371324e-13
0.918000,0.000000,20.039810,38.122120,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.002127,0.457976,5.233529892723122e-08,1.6200000000000016e-12,0.002126653780668487,4.678127997399811e-08,3.090858821165995e-11,4.777337136930956e-12,8.14528664918523e-14,2.700000000000003e-13,0.09180000000000033,1.9696798981940513,0.07343999999999999,3.037062164088291e-11,0.03362989123297543,0.45900000000000035,0.0010238504700245483,0,0,0,9.60546973766297e-10,1.7885634146217468e-13,7.117245983938273e-11,1.3391495074430535e-13
0.972000,0.000000,20.042206,37.990438,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.002406,0.484863,5.517692824606575e-08,1.7100000000000018e-12,0.0024062268325860925,4.953311997113251e-08,3.520772231080977e-11,5.404938948552397e-12,1.143405978659439e-13,2.8620000000000034e-13,0.09720000000000036,2.1067621054217724,0.07775999999999994,3.332540003324758e-11,0.03555401242395313,0.4860000000000004,0.0011371746734511266,0,0,0,1.2398962293718723e-09,1.7885634146217468e-13,8.723541710935138e-11,1.4094461909797176e-13
1.026000,0.000000,20.042678,37.904706,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.002762,0.511773,6.113502328598458e-08,1.830405414306846e-12,0.0027621677555908033,5.228495996811846e-08,3.827845247195625e-11,7.568521317915564e-12,1.2463734880567635e-13,3.0240000000000036e-13,0.10260000000000039,2.1978938058181914,0.08207999999999989,3.332540003324758e-11,0.03940216146460143,0.5130000000000003,0.0012266047137954707,0,0,0,1.7164571376125849e-09,2.1764039264419093e-13,1.0329935458004373e-10,1.479735572312985e-13
1.080000,0.000000,20.046036,37.773806,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.002951,0.538586,7.07955059195531e-08,1.865616840028526e-12,0.0029511205374298214,5.503679996495612e-08,4.3026376468499067e-11,9.07274442498182e-12,1.452304326412415e-13,3.186000000000004e-13,0.10800000000000042,2.334193539239892,0.08639999999999984,4.0774527968701924e-11,0.04036430216085113,0.5400000000000004,0.0014144152680204006,0,0,0,1.9004032132404195e-09,2.993647506745957e-13,1.193626029547167e-10,1.6077846814228465e-13
