Time (s),Growth_Factor (mM),PP2A (mM),MKP (mM),ERK_Nuclear (mM),Phase_Rest (mM),Phase_Pulse (mM),Phase_Recovery (mM),Raf_inactive (mM),Raf_active (mM),MEK_inactive (mM),MEK_PP (mM),ERK_inactive (mM),ERK_PP (mM),ATP (mM),ADP (mM),Raf_Activation (firings),ERK_Nuclear_Import (firings),ATP_Regeneration (firings),Growth_Factor_Source (firings),Growth_Factor_Degradation (firings),Raf_Degradation (firings),MEK_Degradation (firings),ERK_Nuclear_Degradation (firings),MKP_Synthesis (firings),MKP_Degradation (firings),PP2A_Synthesis (firings),Raf_Deactivation (firings),PP2A_Degradation (firings),ADP_Source (firings),ADP_Sink (firings),Start_Pulse (firings),End_Pulse (firings),GF_MKP_Feedforward (firings),MEK_Phosphorylation (firings),MEK_Dephosphorylation (firings),ERK_Phosphorylation (firings),ERK_Dephosphorylation (firings)
0.000000,0.000000,20.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1000.000000,0.000000,800.000000,0.000000,600.000000,0.000000,5000.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,0.000005,20.008998,0.002700,0.000000,1.000000,0.000000,0.000000,999.999998,0.000002,800.000000,0.000000,600.000000,0.000000,5000.000008,0.027002,8.099998947000099e-06,0,9.719837923265588e-06,5.4000002699999995e-06,0,0,0,0,0.0027,2.4299270999999996e-07,0.0162,3.049540934815074e-10,0.00720226782504,0.026999999999999996,0,0,0,0.0,0,0,8.424336973539454e-13,0
0.108000,0.000011,20.017993,0.005400,0.000000,1.000000,0.000000,0.000000,999.999982,0.000018,800.000000,0.000000,600.000000,0.000000,5000.000001,0.054003,8.099994239123395e-05,1.8000000000000002e-13,1.943786188251094e-05,1.0800000539999999e-05,0,3.2398903785263463e-10,0,5.4e-15,0.005399999999999999,2.4299270999999996e-07,0.0324,3.049540934815074e-10,0.014406802717096467,0.054,1.4583693309249483e-05,0,0,0.0,0,0,8.424336973539454e-13,1.5866658089062537e-27
0.162000,0.000016,20.026985,0.008100,0.000000,1.000000,0.000000,0.000000,999.999968,0.000032,800.000000,0.000000,600.000000,0.000000,4999.999987,0.080984,0.00014579985115292294,4.5000000000000005e-13,1.943786188251094e-05,1.6200000809999997e-05,0,9.719664282999064e-10,0,2.16e-14,0.0081,2.4299270999999996e-07,0.048600000000000004,3.049540934815074e-10,0.021614575685138724,0.08099999999999999,4.860258969927058e-05,0,0,0.0,0,0,8.424336973539454e-13,1.5866658089062537e-27
0.216000,0.000021,20.043185,0.010798,0.000000,1.000000,0.000000,0.000000,999.999968,0.000032,800.000000,0.000000,600.000000,0.000000,5000.000052,0.107968,0.00014579985115292294,4.5000000000000005e-13,8.41615483771549e-05,2.160000107999999e-05,3.240000161999999e-07,3.304632617915127e-09,0,3.78e-14,0.010799999999999999,1.8628833632804406e-06,0.06480000000000001,5.795713384301706e-09,0.021614575685138724,0.10799999999999997,6.479967323387123e-05,0,0,0.0,0,0,1.6848673947138243e-12,1.9745722941352992e-25
0.270000,0.000026,20.052169,0.013496,0.000000,1.000000,0.000000,0.000000,999.999945,0.000055,800.000000,0.000000,600.000000,0.000000,5000.000029,0.134928,0.00024964161335548716,5.4e-13,8.41615483771549e-05,2.7000001349999985e-05,7.717680385883997e-07,3.304632617915127e-09,0,5.4000000000000003e-14,0.013499999999999998,3.968460579364405e-06,0.08100000000000002,1.5197406257660826e-08,0.02883141703868433,0.13499999999999998,0.00012795969860468712,0,0,0.0,0,0,1.6848673947138243e-12,1.9745722941352992e-25
0.324000,0.000032,20.064759,0.016194,0.000000,1.000000,0.000000,0.000000,999.999888,0.000112,800.000000,0.000000,600.000000,0.000000,5000.000020,0.161931,0.0005018949865198452,5.4e-13,0.00013267941972770192,3.240000161999998e-05,7.717680385883997e-07,3.304632617915127e-09,0,7.02e-14,0.0162,6.4786369386046494e-06,0.09720000000000002,2.9044662074028338e-08,0.03244080738361737,0.162,0.00018140402685458518,0,0,0.0,3.823045277098265e-07,2.5924724502102363e-11,1.6848673947138243e-12,1.8313243424231627e-24
0.378000,0.000036,20.077348,0.018891,0.000000,1.000000,0.000000,0.000000,999.999889,0.000111,800.000000,0.000000,600.000000,0.000000,5000.000085,0.188871,0.0005018949865198452,5.4e-13,0.00019731671225335794,3.7800001889999974e-05,1.341076243053808e-06,7.317956400101051e-09,0,8.639999999999998e-14,0.018900000000000004,9.474339616432659e-06,0.11340000000000003,4.7948772173998654e-08,0.03605246403828832,0.18900000000000003,0.00024131390237318306,0,0,0.0,3.823045277098265e-07,2.5924724502102363e-11,3.222128637307035e-09,1.026247607269268e-22
0.432000,0.000042,20.089932,0.021587,0.000000,1.000000,0.000000,0.000000,999.999889,0.000111,800.000000,0.000000,600.000000,0.000000,5000.000156,0.215800,0.0005018949865198452,5.4e-13,0.0002683974080793573,4.320000215999997e-05,1.341076243053808e-06,7.317956400101051e-09,6.880548143173146e-12,1.0259999999999996e-13,0.021600000000000008,1.3036481222043854e-05,0.12960000000000002,4.7948772173998654e-08,0.039668330594761436,0.21600000000000005,0.00031254134153503127,0,0,0.0,3.823045277098265e-07,5.1853089096198204e-11,8.0525468850929e-09,3.9766576254233375e-22
0.486000,0.000047,20.106132,0.024287,0.000000,1.000000,0.000000,0.000000,999.999845,0.000155,799.999999,0.000001,600.000000,0.000000,5000.000192,0.242764,0.000698359273901004,1.502709026758958e-11,0.00034914553384022016,4.860000242999996e-05,1.341076243053808e-06,1.1331135702630816e-08,6.880548143173146e-12,1.1879999999999996e-13,0.024300000000000013,1.3036481222043854e-05,0.14579999999999999,7.425913770970588e-08,0.039668330594761436,0.24300000000000008,0.00039347038742500813,0,0,0.0,1.1082287348691484e-06,1.2703588848920608e-10,8.0525468850929e-09,1.1157975704601952e-21
