time,P3,P6,P7,P8
0.0,0,0,0,0
0.1,0,0,0,0
0.11,0,0,0,0
0.21000000000000002,0,0,0,0
0.22000000000000003,0,0,0,0
0.32000000000000006,0,0,0,0
0.33000000000000007,0,0,0,0
0.43000000000000005,0,0,0,0
0.44000000000000006,0,0,0,0
0.54,0,0,0,0
0.55,0,0,0,0
0.65,0,0,0,0
0.66,0,0,0,0
0.76,0,0,0,0
0.77,0,0,0,0
0.87,0,0,0,0
0.88,0,0,0,0
0.98,0,0,0,0
0.99,0,0,0,0
1.09,0,0,0,0
1.1,0,0,0,0
1.2000000000000002,0,0,0,0
1.2100000000000002,0,0,0,0
1.3100000000000003,0,0,0,0
1.3200000000000003,0,0,0,0
1.4200000000000004,0,0,0,0
1.4300000000000004,0,0,0,0
1.5300000000000005,0,0,0,0
1.5340000000000005,0,0,0,0
1.6340000000000006,0,0,0,0
1.6380000000000006,0,0,0,0
1.7380000000000007,0,0,0,0
1.7420000000000007,0,0,0,0
1.8420000000000007,0,0,0,0
1.8460000000000008,0,0,0,0
1.9460000000000008,0,0,0,0
1.9500000000000008,0,0,0,0
2.0500000000000007,0,0,0,0
2.0540000000000007,0,0,0,0
2.154000000000001,0,0,0,0
2.158000000000001,0,0,0,0
2.258000000000001,0,0,0,0
2.262000000000001,0,0,0,0
2.362000000000001,0,0,0,0
2.366000000000001,0,0,0,0
2.466000000000001,0,0,0,0
2.470000000000001,0,0,0,0
2.570000000000001,0,0,0,0
2.574000000000001,0,0,0,0
2.6740000000000013,0,0,0,0
2.6780000000000013,0,0,0,0
2.7780000000000014,0,0,0,0
2.7820000000000014,0,0,0,0
2.8820000000000014,0,0,0,0
2.8860000000000015,0,0,0,0
2.9860000000000015,0,0,0,0
2.9900000000000015,0,0,0,0
3.0900000000000016,0,0,0,0
3.0940000000000016,0,0,0,0
3.1940000000000017,0,0,0,0
3.1980000000000017,0,0,0,0
3.298000000000002,0,0,0,0
3.302000000000002,0,0,0,0
3.402000000000002,0,0,0,0
3.406000000000002,0,0,0,0
3.506000000000002,0,0,0,0
3.510000000000002,0,0,0,0
3.610000000000002,0,0,0,0
3.614000000000002,0,0,0,0
3.714000000000002,0,0,0,0
3.718000000000002,0,0,0,0
3.8180000000000023,0,0,0,0
3.8220000000000023,0,0,0,0
3.9220000000000024,0,0,0,0
3.9260000000000024,0,0,0,0
4.0260000000000025,0,0,0,0
4.030000000000002,0,0,0,0
4.130000000000002,0,0,0,0
4.134000000000001,0,0,0,0
4.234000000000001,0,0,0,0
4.238,0,0,0,0
4.338,0,0,0,0
4.342,0,0,0,0
4.441999999999999,0,0,0,0
4.445999999999999,0,5.0,0,0
4.5459999999999985,0,5.0,0,0
4.548399999999998,0,5.0,0,0
4.648399999999998,0,5.0,0,0
4.650799999999998,0,5.0,0,0
4.750799999999997,0,5.0,0,0
4.753199999999997,0,5.0,0,0
4.853199999999997,0,5.0,0,0
4.855599999999996,0,5.0,0,0
4.955599999999996,0,5.0,0,0
4.957999999999996,0,5.0,0,0
5.057999999999995,0,5.0,0,0
5.060399999999995,0,5.0,0,0
5.160399999999995,0,5.0,0,0
5.1627999999999945,0,5.0,0,0
5.262799999999994,0,5.0,0,0
5.265199999999994,0,5.0,0,0
5.3651999999999935,0,5.0,0,0
5.367599999999993,0,5.0,0,0
5.467599999999993,0,5.0,0,0
5.469999999999993,0,5.0,0,0
5.569999999999992,0,5.0,0,0
5.572399999999992,0,5.0,0,0
5.672399999999992,0,5.0,0,0
5.674799999999991,0,5.0,0,0
5.774799999999991,0,5.0,0,0
5.777199999999991,0,5.0,0,0
5.87719999999999,0,5.0,0,0
5.87959999999999,0,5.0,0,0
5.97959999999999,0,5.0,0,0
5.9819999999999895,0,5.0,0,0
6.081999999999989,0,5.0,0,0
6.084399999999989,0,5.0,0,0
6.184399999999989,0,5.0,0,0
6.186799999999988,0,5.0,0,0
6.286799999999988,0,5.0,0,0
6.289199999999988,0,5.0,0,0
6.389199999999987,0,5.0,0,0
6.391599999999987,0,5.0,0,0
6.491599999999987,0,5.0,0,0
6.4939999999999864,0,5.0,0,0
6.593999999999986,0,5.0,0,0
6.596399999999986,0,5.0,0,0
6.6963999999999855,0,5.0,0,0
6.698799999999985,0,5.0,0,0
6.798799999999985,0,5.0,0,0
6.801199999999985,0,5.0,0,0
6.901199999999984,0,5.0,0,0
6.903599999999984,0,5.0,0,0
7.003599999999984,0,5.0,0,0
7.005999999999983,0,5.0,0,0
7.105999999999983,0,5.0,0,0
7.108399999999983,0,5.0,0,0
7.208399999999982,0,5.0,0,0
7.210799999999982,0,5.0,0,0
7.310799999999982,0,5.0,0,0
7.3131999999999815,0,5.0,0,0
7.413199999999981,0,5.0,0,0
7.415599999999981,0,5.0,0,0
7.5155999999999805,0,5.0,0,0
7.51799999999998,0,5.0,0,0
7.61799999999998,0,5.0,0,0
7.62039999999998,0,5.0,0,0
7.720399999999979,0,5.0,0,0
