Time (s),CI_Gene (mM),Energy_ATP (mM),RecA_Inactive (mM),RecA_Active (mM),DNA_Damage (mM),CII_Gene (mM),CI_mRNA (mM),CII_mRNA (mM),CII_Protein (mM),cAMP (mM),ppGpp (mM),Metabolic_Health (mM),DnaA (mM),FtsZ (mM),Cell_Cycle_Phase (mM),CIII_Protein (mM),CI_Cleaved (mM),CI_Intact (mM),Cro_Gene (mM),Cro_mRNA (mM),Cro_Protein (mM),CI_Dimer (mM),Cro_Dimer (mM),CI_Transcription (firings),Cro_Protein_Decay (firings),CI_Dimer_Decay (firings),CI_Translation (firings),Cro_Dimer_Decay (firings),DNA_Damage_UV (firings),RecA_Activation (firings),RecA_Deactivation (firings),DNA_Repair (firings),RecA_CI_Cleavage (firings),CII_Transcription (firings),CI_Dimerization (firings),CII_Translation (firings),CII_Degradation (firings),T33 (firings),FtsZ_Production (firings),CIII_Synthesis (firings),T37 (firings),T38 (firings),T39 (firings),CI_mRNA_Decay (firings),cAMP_Production (firings),ppGpp_Production (firings),Metabolic_Health_Update (firings),Metabolic_Health_Decay (firings),DnaA_Production (firings),FtsZ_Decay (firings),Cell_Cycle_Phase_Update (firings),Cell_Cycle_Phase_Decay (firings),ATP_Production (firings),ATP_Consumption (firings),CI_Protein_Decay (firings),Cro_Transcription (firings),Cro_Translation (firings),Cro_Dimerization (firings),Cro_mRNA_Decay (firings)
0.000000,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.500000,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.501200,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.001200,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.002400,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.502400,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.503600,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.003600,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.004800,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.504800,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.506000,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.006000,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.007200,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.507200,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.508400,1.000000,50.000000,100.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.000000,10.000000,5.000000,2.000000,8.000000,2.000000,4.000000,10.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
