Time (s),ATP_pool (mM),Spo0A (mM),Spo0A_P (mM),RapA (mM),SigmaH (mM),Septum (mM),SigmaF (mM),SigmaE (mM),SigmaG (mM),SigmaK (mM),Forespore (mM),GTP_pool (mM),Mother_cell (mM),Cortex (mM),Inner_coat (mM),Outer_coat (mM),Mature_spore (mM),ADP_pool (mM),GDP_pool (mM),Nutrients (mM),Cell_density (mM),KinA_kinase (mM),KinA_P (mM),Spo0F (mM),Spo0F_P (mM),Spo0B (mM),T_KinA_activation (firings),T_sigmaE_feedback (firings),T_sigmaG_transcription (firings),T_sigmaK_transcription (firings),T_forespore_formation (firings),T_mother_cell_formation (firings),T_cortex_synthesis (firings),T_inner_coat_synthesis (firings),T_outer_coat_synthesis (firings),T_spore_maturation (firings),Source_nutrient_depletion (firings),T_Spo0F_phosphorylation (firings),Source_ATP_regen (firings),Source_GTP_regen (firings),Source_cell_density (firings),T_Spo0F_dephosphorylation (firings),T_Spo0A_phosphorylation (firings),T_Spo0A_dephosphorylation (firings),T_sigmaH_transcription (firings),T_septation (firings),T_sigmaF_activation (firings),T_sigmaE_activation (firings)
0.000000,5.000000,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.160000,5.000653,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.935200,1.021600,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,2.16,2.16,2.16,0,2.16,0,2.16,2.16,2.16,0,0,0,0,0,0,0
4.320000,5.001306,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.870400,1.043200,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,4.32,4.32,4.32,0,4.32,0,4.32,4.32,4.32,0,0,0,0,0,0,0
6.480000,5.001959,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.805600,1.064800,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,6.48,6.48,6.48,0,6.48,0,6.48,6.48,6.48,0,0,0,0,0,0,0
8.640000,5.002611,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.740800,1.086400,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,8.64,8.64,8.64,0,8.64,0,8.64,8.64,8.64,0,0,0,0,0,0,0
10.800000,5.003264,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.001208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.676000,1.108000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,10.8,10.8,10.8,0,10.8,0,10.8,10.8,10.8,0,0,0,0,0,0,0
12.960000,5.003917,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.001449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.611200,1.129600,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,12.96,12.96,12.96,0,12.96,0,12.96,12.96,12.96,0,0,0,0,0,0,0
15.120000,5.004570,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.001690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.546400,1.151200,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,15.120000000000001,15.120000000000001,15.120000000000001,0,15.120000000000001,0,15.120000000000001,15.120000000000001,15.120000000000001,0,0,0,0,0,0,0
17.280000,5.005222,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.001932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.481600,1.172800,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,17.28,17.28,17.28,0,17.28,0,17.28,17.28,17.28,0,0,0,0,0,0,0
19.440000,5.005875,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.002173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.416800,1.194400,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,19.44,19.44,19.44,0,19.44,0,19.44,19.44,19.44,0,0,0,0,0,0,0
21.600000,5.006528,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.002415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.352000,1.216000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,21.6,21.6,21.6,0,21.6,0,21.6,21.6,21.6,0,0,0,0,0,0,0
23.760000,5.007180,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.002656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.287200,1.237600,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,23.76,23.76,23.76,0,23.76,0,23.76,23.76,23.76,0,0,0,0,0,0,0
25.920000,5.007833,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.002898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.222400,1.259200,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,25.92,25.92,25.92,0,25.92,0,25.92,25.92,25.92,0,0,0,0,0,0,0
28.080000,5.008485,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.003139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.157600,1.280800,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,28.080000000000002,28.080000000000002,28.080000000000002,0,28.080000000000002,0,28.080000000000002,28.080000000000002,28.080000000000002,0,0,0,0,0,0,0
30.240000,5.009138,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.003380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.092800,1.302400,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,30.240000000000002,30.240000000000002,30.240000000000002,0,30.240000000000002,0,30.240000000000002,30.240000000000002,30.240000000000002,0,0,0,0,0,0,0
