Time (s),ATP_pool (mM),Spo0A (mM),Spo0A_P (mM),RapA (mM),SigmaH (mM),Septum (mM),SigmaF (mM),SigmaE (mM),SigmaG (mM),SigmaK (mM),Forespore (mM),GTP_pool (mM),Mother_cell (mM),Cortex (mM),Inner_coat (mM),Outer_coat (mM),Mature_spore (mM),ADP_pool (mM),GDP_pool (mM),Nutrients (mM),Cell_density (mM),KinA_kinase (mM),KinA_P (mM),Spo0F (mM),Spo0F_P (mM),Spo0B (mM),T_KinA_activation (firings),T_sigmaE_feedback (firings),T_sigmaG_transcription (firings),T_sigmaK_transcription (firings),T_forespore_formation (firings),T_mother_cell_formation (firings),T_cortex_synthesis (firings),T_inner_coat_synthesis (firings),T_outer_coat_synthesis (firings),T_spore_maturation (firings),Source_nutrient_depletion (firings),T_Spo0F_phosphorylation (firings),Source_ATP_regen (firings),Source_GTP_regen (firings),Source_cell_density (firings),T_Spo0F_dephosphorylation (firings),T_Spo0A_phosphorylation (firings),T_Spo0A_dephosphorylation (firings),T_sigmaH_transcription (firings),T_septation (firings),T_sigmaF_activation (firings),T_sigmaE_activation (firings)
0.000000,5000.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,100.000000,1.000000,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006000,5000.959999,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.872727,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.999400,1.000060,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0006000000000000001,0,0.023999986909019506,0.8727267966916183,6e-05,0,0,0,0,0,0,0
0.012000,5001.919998,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5001.745453,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.998800,1.000120,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0012000000000000001,0,0.0479999607269157,1.745453117342389,0.00012,0,0,0,0,0,0,0
0.018000,5002.879997,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5002.618179,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.998200,1.000180,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0018000000000000002,0,0.07199992145354578,2.618178961947119,0.00018,0,0,0,0,0,0,0
0.024000,5003.839995,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5003.490904,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.997600,1.000240,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0024000000000000002,0,0.09599986908876691,3.490904330500615,0.00024,0,0,0,0,0,0,0
0.030000,5004.799992,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5004.363629,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.997000,1.000300,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.003,0,0.11999980363243629,4.363629222997683,0.00030000000000000003,0,0,0,0,0,0,0
0.036000,5005.759989,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5005.236354,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.996400,1.000360,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0036,0,0.14399972508441108,5.23635363943313,0.00036,0,0,0,0,0,0,0
0.042000,5006.719985,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5006.109078,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.995800,1.000420,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0042,0,0.16799963344454846,6.109077579801762,0.00042,0,0,0,0,0,0,0
0.048000,5007.679981,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5006.981801,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.995200,1.000480,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0048,0,0.19199952871270562,6.981801044098386,0.00048,0,0,0,0,0,0,0
0.054000,5008.639976,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5007.854524,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.994600,1.000540,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.005399999999999999,0,0.21599941088873972,7.854524032317808,0.00054,0,0,0,0,0,0,0
0.060000,5009.599971,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5008.727247,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.994000,1.000600,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.005999999999999999,0,0.23999927997250792,8.727246544454832,0.0006000000000000001,0,0,0,0,0,0,0
0.066000,4978.559965,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4959.599969,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.993400,1.000660,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.006599999999999999,0,0.2639991359638674,9.599968580504267,0.0006600000000000001,0,0,0,0,1,0,0
0.072000,4979.519959,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4960.472690,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.992800,1.000720,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.007199999999999999,0,0.28799897886267534,10.47269014046092,0.0007200000000000002,0,0,0,0,1,0,0
0.078000,4980.479952,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4961.345411,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.992200,1.000780,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.007799999999999999,0,0.3119988086687889,11.345411224319593,0.0007800000000000002,0,0,0,0,1,0,0
0.084000,4981.439945,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4962.218132,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.991600,1.000840,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0084,0,0.33599862538206515,12.218131832075095,0.0008400000000000003,0,0,0,0,1,0,0
0.090000,4982.399937,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4963.090852,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.991000,1.000900,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.009,0,0.35999842900236134,13.09085196372223,0.0009000000000000003,0,0,0,0,1,0,0
0.096000,4983.359929,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4963.963572,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.990400,1.000960,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0096,0,0.3839982195295346,13.963571619255804,0.0009600000000000003,0,0,0,0,1,0,0
0.102000,4984.319920,25.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4964.836291,0.000000,0.000000,0.000000,0.000000,0.000000,996.000000,996.000000,99.989800,1.001020,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.010199999999999999,0,0.40799799696344213,14.836290798670623,0.0010200000000000003,0,0,0,0,1,0,0
