Time (s),ATP_pool (mM),Spo0A (mM),Spo0A_P (mM),RapA (mM),SigmaH (mM),Septum (mM),SigmaF (mM),SigmaE (mM),SigmaG (mM),SigmaK (mM),Forespore (mM),GTP_pool (mM),Mother_cell (mM),Cortex (mM),Inner_coat (mM),Outer_coat (mM),Mature_spore (mM),ADP_pool (mM),GDP_pool (mM),Nutrients (mM),Cell_density (mM),KinA_kinase (mM),KinA_P (mM),Spo0F (mM),Spo0F_P (mM),Spo0B (mM),T_KinA_activation (firings),T_sigmaE_feedback (firings),T_sigmaG_transcription (firings),T_sigmaK_transcription (firings),T_forespore_formation (firings),T_mother_cell_formation (firings),T_cortex_synthesis (firings),T_inner_coat_synthesis (firings),T_outer_coat_synthesis (firings),T_spore_maturation (firings),Source_nutrient_depletion (firings),T_Spo0F_phosphorylation (firings),Source_ATP_regen (firings),Source_GTP_regen (firings),Source_cell_density (firings),T_Spo0F_dephosphorylation (firings),T_Spo0A_phosphorylation (firings),T_Spo0A_dephosphorylation (firings),T_sigmaH_transcription (firings),T_septation (firings),T_sigmaF_activation (firings),T_sigmaE_activation (firings)
0.000000,5000.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,100.000000,1.000000,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,5008.639976,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5007.854524,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,995.000000,99.994600,1.000540,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.005399999999999999,0,0.21599941088873972,7.854524032317808,0.00054,0,0,0,0,0,0,0
0.108000,5017.279910,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5000.709010,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.989200,1.001080,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.010799999999999999,0,0.431997761303941,15.709009501961491,0.0010800000000000002,0,0,0,0,0,0,1
0.162000,5025.919802,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5008.563456,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.983800,1.001620,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0162,0,0.6479950511414716,23.56345640514442,0.0016199999999999997,0,0,0,0,0,0,1
0.216000,5034.559651,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5016.417865,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.978400,1.002160,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.021599999999999998,0,0.863991280297184,31.417864738079416,0.00216,0,0,0,0,0,0,1
0.270000,5043.199458,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5024.272234,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.973000,1.002700,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.026999999999999996,0,1.0799864486669148,39.27223449697872,0.0027000000000000014,0,0,0,0,0,0,1
0.324000,5051.839222,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5032.126566,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.967600,1.003240,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.0324,0,1.2959805561464863,47.12656567805403,0.003240000000000003,0,0,0,0,0,0,1
0.378000,5060.478944,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5039.980858,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.962200,1.003780,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.03780000000000003,0,1.5119736026317045,54.98085827751649,0.0037800000000000043,0,0,0,0,0,0,1
0.432000,5069.118624,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5047.835112,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.956800,1.004320,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.04320000000000006,0,1.7279655880183606,62.8351122915767,0.004320000000000005,0,0,0,0,0,0,1
0.486000,5077.758260,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5055.689328,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.951400,1.004860,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.04860000000000009,0,1.94395651220223,70.68932771644467,0.004860000000000007,0,0,0,0,0,0,1
0.540000,5086.397855,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5063.543505,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.946000,1.005400,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.05400000000000012,0,2.159946375079072,78.54350454832986,0.005400000000000008,0,0,0,0,0,0,1
0.594000,5095.037407,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5071.397643,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.940600,1.005940,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.05940000000000015,0,2.3759351765446333,86.39764278344119,0.0059400000000000095,0,0,0,0,0,0,1
0.648000,5103.676917,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,5079.251742,0.000000,0.000000,0.000000,0.000000,0.000000,995.000000,996.000000,99.935200,1.006480,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0.06480000000000018,0,2.5919229164946422,94.25174241798697,0.006480000000000011,0,0,0,0,0,0,1
