Time (s),ATP_pool (mM),Spo0A (mM),Spo0A_P (mM),RapA (mM),SigmaH (mM),Septum (mM),SigmaF (mM),SigmaE (mM),SigmaG (mM),SigmaK (mM),Forespore (mM),GTP_pool (mM),Mother_cell (mM),Cortex (mM),Inner_coat (mM),Outer_coat (mM),Mature_spore (mM),ADP_pool (mM),GDP_pool (mM),Nutrients (mM),Cell_density (mM),KinA_kinase (mM),KinA_P (mM),Spo0F (mM),Spo0F_P (mM),Spo0B (mM),T_KinA_activation (firings),T_sigmaE_feedback (firings),T_sigmaG_transcription (firings),T_sigmaK_transcription (firings),T_forespore_formation (firings),T_mother_cell_formation (firings),T_cortex_synthesis (firings),T_inner_coat_synthesis (firings),T_outer_coat_synthesis (firings),T_spore_maturation (firings),Source_nutrient_depletion (firings),T_Spo0F_phosphorylation (firings),Source_ATP_regen (firings),Source_GTP_regen (firings),Source_cell_density (firings),T_Spo0F_dephosphorylation (firings),T_Spo0A_phosphorylation (firings),T_Spo0A_dephosphorylation (firings),T_sigmaH_transcription (firings),T_septation (firings),T_sigmaF_activation (firings),T_sigmaE_activation (firings)
0.000000,5.000000,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,4.990334,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.996274,0.000000,0.000054,0.000054,0.000054,0.000000,0.009720,0.003780,100.000000,1.054000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,0.05399999999999999,0.05399999999999999,0.05399999999999999,0,0.05399999999999999,0,0.05399999999999999,0.05399999999999999,0.05399999999999999,0,0,0,0,0,0,0
0.108000,4.980668,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.992548,0.000000,0.000108,0.000108,0.000108,0.000000,0.019440,0.007560,100.000000,1.108000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,0.10800000000000003,0.10800000000000003,0.10800000000000003,0,0.10800000000000003,0,0.10800000000000003,0.10800000000000003,0.10800000000000003,0,0,0,0,0,0,0
0.162000,4.971002,0.025000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.988822,0.000000,0.000162,0.000162,0.000162,0.000000,0.029160,0.011340,100.000000,1.162000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,0.16200000000000006,0.16200000000000006,0.16200000000000006,0,0.16200000000000006,0,0.16200000000000006,0.16200000000000006,0.16200000000000006,0,0,0,0,0,0,0
0.216000,4.901336,0.025000,0.000000,0.005000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,2.935096,0.000000,0.000216,0.000216,0.000216,0.000000,0.098880,0.065120,100.000000,1.216000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,0,0.2160000000000001,0.2160000000000001,0.2160000000000001,0,0.2160000000000001,0,0.2160000000000001,0.2160000000000001,0.2160000000000001,0,0,0,1,1,0,0
0.270000,4.861670,0.025000,0.000000,0.005000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,2.931370,0.001000,0.000270,0.000270,0.000270,0.000000,0.138600,0.068900,100.000000,1.270000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,1,0.27000000000000013,0.27000000000000013,0.27000000000000013,0,0.27000000000000013,0,0.27000000000000013,0.27000000000000013,0.27000000000000013,0,0,0,1,1,0,0
0.324000,4.852004,0.025000,0.000000,0.005000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,2.927644,0.001000,0.000324,0.000324,0.000324,0.000000,0.148320,0.072680,100.000000,1.324000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,1,0.3240000000000002,0.3240000000000002,0.3240000000000002,0,0.3240000000000002,0,0.3240000000000002,0.3240000000000002,0.3240000000000002,0,0,0,1,1,0,0
0.378000,4.842338,0.025000,0.000000,0.005000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,2.923918,0.001000,0.000378,0.000378,0.000378,0.000000,0.158040,0.076460,100.000000,1.378000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,1,0.3780000000000002,0.3780000000000002,0.3780000000000002,0,0.3780000000000002,0,0.3780000000000002,0.3780000000000002,0.3780000000000002,0,0,0,1,1,0,0
0.432000,4.832672,0.025000,0.000000,0.005000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,2.920192,0.001000,0.000432,0.000432,0.000432,0.000000,0.167760,0.080240,100.000000,1.432000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,1,0.4320000000000003,0.4320000000000003,0.4320000000000003,0,0.4320000000000003,0,0.4320000000000003,0.4320000000000003,0.4320000000000003,0,0,0,1,1,0,0
0.486000,4.823006,0.025000,0.000000,0.005000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,2.916466,0.001000,0.000486,0.000486,0.000486,0.000000,0.177480,0.084020,100.000000,1.486000,0.010000,0.000000,0.020000,0.000000,0.015000,0,0,0,0,0,1,0.4860000000000003,0.4860000000000003,0.4860000000000003,0,0.4860000000000003,0,0.4860000000000003,0.4860000000000003,0.4860000000000003,0,0,0,1,1,0,0
