Time (s),ATP_pool (mM),Spo0A (mM),Spo0A_P (mM),RapA (mM),SigmaH (mM),Septum (mM),SigmaF (mM),SigmaE (mM),SigmaG (mM),SigmaK (mM),Forespore (mM),GTP_pool (mM),Mother_cell (mM),Cortex (mM),Inner_coat (mM),Outer_coat (mM),Mature_spore (mM),ADP_pool (mM),GDP_pool (mM),Nutrients (mM),Cell_density (mM),KinA_kinase (mM),KinA_P (mM),Spo0F (mM),Spo0F_P (mM),Spo0B (mM),T_KinA_activation (firings),T_sigmaE_feedback (firings),T_sigmaG_transcription (firings),T_sigmaK_transcription (firings),T_forespore_formation (firings),T_mother_cell_formation (firings),T_cortex_synthesis (firings),T_inner_coat_synthesis (firings),T_outer_coat_synthesis (firings),T_spore_maturation (firings),Source_nutrient_depletion (firings),T_Spo0F_phosphorylation (firings),Source_ATP_regen (firings),Source_GTP_regen (firings),Source_cell_density (firings),T_Spo0F_dephosphorylation (firings),T_Spo0A_phosphorylation (firings),T_Spo0A_dephosphorylation (firings),T_sigmaH_transcription (firings),T_septation (firings),T_sigmaF_activation (firings),T_sigmaE_activation (firings)
0.000000,300.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000000,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006000,300.960000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3000.872727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000060,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,1.7142857142857147e-27,0,0.0006000000000000001,0,0.024000000000000007,0.8727272727272728,6e-05,0,0,0,0,0,0,0
0.012000,301.920000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3001.745455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000120,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,1.3953418011192463e-27,1.7142857142857147e-27,0,0.0012000000000000001,0,0.048000000000000015,1.7454545454545456,0.00012,0,0,0,0,0,0,0
0.018000,302.880000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3002.618182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000180,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,2.7924702318702254e-27,1.7142857142857147e-27,0,0.0018000000000000002,0,0.07200000000000002,2.618181818181818,0.00018,0,0,0,0,0,0,0
0.024000,303.840000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3003.490909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000240,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,2.7924702318702254e-27,3.4286426124482814e-27,0,0.0024000000000000002,0,0.09600000000000003,3.490909090909091,0.00024,0,0,0,0,0,0,0
0.030000,304.800000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3004.363636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000300,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,4.193151723578083e-27,3.4286426124482814e-27,0,0.003,0,0.12000000000000004,4.363636363636364,0.00030000000000000003,0,0,0,0,0,0,0
0.036000,305.760000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3005.236364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000360,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.5119047619047615e-27,4.193151723578083e-27,3.4286426124482814e-27,0,0.0036,0,0.14400000000000004,5.236363636363637,0.00036,0,0,0,0,0,0,0
0.042000,306.720000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3006.109091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000420,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.5119047619047615e-27,5.597359600337915e-27,3.4286426124482814e-27,0,0.0042,0,0.16800000000000004,6.10909090909091,0.00042,0,0,0,0,0,0,0
0.048000,307.680000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3006.981818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000480,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.5119047619047615e-27,5.597359600337915e-27,5.1430942387315075e-27,0,0.0048,0,0.19200000000000006,6.981818181818183,0.00048,0,0,0,0,0,0,0
0.054000,308.640000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3007.854545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000540,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.5119047619047615e-27,5.597359600337915e-27,6.857569514311174e-27,0,0.005399999999999999,0,0.21600000000000008,7.854545454545456,0.00054,0,0,0,0,0,0,0
