Time (s),ATP_pool (mM),Spo0A (mM),Spo0A_P (mM),RapA (mM),SigmaH (mM),Septum (mM),SigmaF (mM),SigmaE (mM),SigmaG (mM),SigmaK (mM),Forespore (mM),GTP_pool (mM),Mother_cell (mM),Cortex (mM),Inner_coat (mM),Outer_coat (mM),Mature_spore (mM),ADP_pool (mM),GDP_pool (mM),Nutrients (mM),Cell_density (mM),KinA_kinase (mM),KinA_P (mM),Spo0F (mM),Spo0F_P (mM),Spo0B (mM),T_KinA_activation (firings),T_sigmaE_feedback (firings),T_sigmaG_transcription (firings),T_sigmaK_transcription (firings),T_forespore_formation (firings),T_mother_cell_formation (firings),T_cortex_synthesis (firings),T_inner_coat_synthesis (firings),T_outer_coat_synthesis (firings),T_spore_maturation (firings),Source_nutrient_depletion (firings),T_Spo0F_phosphorylation (firings),Source_ATP_regen (firings),Source_GTP_regen (firings),Source_cell_density (firings),T_Spo0F_dephosphorylation (firings),T_Spo0A_phosphorylation (firings),T_Spo0A_dephosphorylation (firings),T_sigmaH_transcription (firings),T_septation (firings),T_sigmaF_activation (firings),T_sigmaE_activation (firings)
0.000000,300.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000000,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054000,308.640000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3007.854545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.000540,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,3.0617473423117687e-27,1.6079404466501243e-27,1.0286259700761829e-26,0,0.005399999999999999,0,0.21600000000000008,7.854545454545456,0.00054,0,0,0,0,0,0,0
0.108000,317.280000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3015.709091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.001080,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,9.278326655870311e-27,6.560120715948886e-27,1.3715517027239395e-26,0,0.010799999999999999,0,0.4320000000000003,15.709090909090913,0.0010800000000000002,0,0,0,0,0,0,0
0.162000,325.920000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3023.563636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.001620,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.5707991059356744e-26,1.1581371553318332e-26,1.714500960945312e-26,0,0.0162,0,0.6480000000000005,23.563636363636355,0.0016199999999999997,0,0,0,0,0,0,0
0.216000,334.560000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3031.418182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.002160,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,2.3923624565251777e-26,1.1581371553318332e-26,2.4005025272017072e-26,0,0.021599999999999998,0,0.8640000000000007,31.418181818181797,0.00216,0,0,0,0,0,0,0
0.270000,343.200000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3039.272727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.002700,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,2.892928075945421e-26,1.6757266384385874e-26,2.9150793757590473e-26,0,0.026999999999999996,0,1.0800000000000007,39.272727272727266,0.0027000000000000014,0,0,0,0,0,0,0
0.324000,351.840000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3047.127273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.003240,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,3.2371169740290906e-26,2.3736790016224183e-26,3.42970255723997e-26,0,0.0324,0,1.296000000000001,47.12727272727274,0.003240000000000003,0,0,0,0,0,0,0
0.378000,360.480000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3054.981818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.003780,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,3.93867345513207e-26,2.7251644610782e-26,3.944408735163477e-26,0,0.03780000000000003,0,1.5120000000000011,54.98181818181821,0.0037800000000000043,0,0,0,0,0,0,0
0.432000,369.120000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3062.836364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.004320,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,4.11630154686649e-26,3.439042918151329e-26,4.630759286933801e-26,0,0.04320000000000006,0,1.7280000000000013,62.836363636363686,0.004320000000000005,0,0,0,0,0,0,0
0.486000,377.760000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3070.690909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.004860,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,5.209528847132712e-26,3.7992202203278473e-26,4.802371446760283e-26,0,0.04860000000000009,0,1.9440000000000015,70.69090909090916,0.004860000000000007,0,0,0,0,0,0,0
0.540000,386.400000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3078.545455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.005400,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,6.13334138614807e-26,3.7992202203278473e-26,5.488894959474351e-26,0,0.05400000000000012,0,2.1600000000000015,78.54545454545463,0.005400000000000008,0,0,0,0,0,0,0
0.594000,395.040000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3086.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.005940,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,6.323271655359259e-26,4.719517194244543e-26,6.003826589978034e-26,0,0.05940000000000015,0,2.3760000000000017,86.4000000000001,0.0059400000000000095,0,0,0,0,0,0,0
0.648000,403.680000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3094.254545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.006480,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,6.89910447273887e-26,5.0908681116953174e-26,6.690487626496279e-26,0,0.06480000000000018,0,2.592000000000002,94.25454545454558,0.006480000000000011,0,0,0,0,0,0,0
0.702000,412.320000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3102.109091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.007020,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,6.89910447273887e-26,5.652439445294122e-26,7.720613546177857e-26,0,0.0702000000000002,0,2.808000000000002,102.10909090909105,0.007020000000000012,0,0,0,0,0,0,0
0.756000,420.960000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3109.963636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.007560,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,7.886153659559632e-26,5.652439445294122e-26,8.407439913787432e-26,0,0.07560000000000024,0,3.0240000000000022,109.96363636363652,0.007560000000000014,0,0,0,0,0,0,0
0.810000,429.600000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3117.818182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.008100,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,9.286996846234414e-26,5.842937032623746e-26,8.579166472370083e-26,0,0.08100000000000027,0,3.2400000000000024,117.818181818182,0.008100000000000012,0,0,0,0,0,0,0
0.864000,438.240000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3125.672727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.008640,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,9.69410946874592e-26,6.417514838071724e-26,9.266149942526795e-26,0,0.0864000000000003,0,3.4560000000000026,125.67272727272747,0.008640000000000005,0,0,0,0,0,0,0
0.918000,446.880000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3133.527273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.009180,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.0309188550958134e-25,6.997392466723452e-26,9.78144632769788e-26,0,0.09180000000000033,0,3.672000000000003,133.52727272727293,0.009179999999999999,0,0,0,0,0,0,0
0.972000,455.520000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3141.381818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.009720,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.0725523319044065e-25,7.191577709992509e-26,1.0812159325185934e-25,0,0.09720000000000036,0,3.888000000000003,141.3818181818184,0.009719999999999993,0,0,0,0,0,0,0
1.026000,464.160000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3149.236364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.010260,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.135799478034756e-25,8.168460816160481e-26,1.098396477497569e-25,0,0.10260000000000039,0,4.104000000000003,149.23636363636388,0.010259999999999986,0,0,0,0,0,0,0
1.080000,472.800000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3157.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.010800,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.2210525512951813e-25,8.561222975607344e-26,1.1499433098821653e-25,0,0.10800000000000042,0,4.320000000000003,157.09090909090935,0.01079999999999998,0,0,0,0,0,0,0
1.134000,481.440000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3164.945455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.011340,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.307026779493093e-25,8.957565527564947e-26,1.2014951038689497e-25,0,0.11340000000000044,0,4.536000000000003,164.94545454545482,0.011339999999999973,0,0,0,0,0,0,0
1.188000,490.080000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3172.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.011880,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.3939882104983686e-25,9.553378286280791e-26,1.235868044690286e-25,0,0.11880000000000047,0,4.752000000000003,172.8000000000003,0.011879999999999967,0,0,0,0,0,0,0
1.242000,498.720000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3180.654545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.012420,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.4816933429927346e-25,1.0153179819581179e-25,1.270243975407402e-25,0,0.1242000000000005,0,4.9680000000000035,180.65454545454577,0.01241999999999996,0,0,0,0,0,0,0
1.296000,507.360000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3188.509091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,1.012960,10.000000,0.000000,20.000000,0.000000,15.000000,0,0,0,0,0,0,1.6144455982194715e-25,1.035405807073395e-25,1.3046239455081008e-25,0,0.12960000000000044,0,5.184000000000004,188.50909090909124,0.012959999999999954,0,0,0,0,0,0,0
