condition,replicates_ok,replicates_error,wall_seconds,cpu_seconds,peak_rss_mib,tmd_critical_count,tmd_stiffness_ratio,tmd_recommended_dt
Baseline,50,0,3161.56,3157.37,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=0_SinR=4,50,0,3350.52,3347.68,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=0_SinR=6,50,0,3287.53,3284.78,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=0_SinR=12,50,0,3383.54,3380.85,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=0_SinR=18,50,0,3397.35,3386.11,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=10_SinR=4,50,0,3391.66,3386.02,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=10_SinR=6,50,0,3223.48,3220.47,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=10_SinR=12,50,0,3157.15,3154.28,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=10_SinR=18,50,0,3400.1,3386.38,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=27_SinR=4,50,0,3363.96,3361.15,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=27_SinR=6,50,0,3254.74,3251.87,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=27_SinR=12,50,0,3151.55,3149.3,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=1440_[param] LOADING_DOSE=27_SinR=18,50,0,3370.01,3367.28,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=0_SinR=4,50,0,3388.03,3384.86,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=0_SinR=6,50,0,3045.13,3042.38,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=0_SinR=12,50,0,3394.78,3386.09,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=0_SinR=18,50,0,3342.07,3339.23,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=10_SinR=4,50,0,3056.06,3053.19,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=10_SinR=6,50,0,3061.78,3058.91,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=10_SinR=12,50,0,3166.1,3163.26,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=10_SinR=18,50,0,4251.29,1205.91,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=27_SinR=4,50,0,4254.12,1195.3,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=27_SinR=6,50,0,4261.41,1199.38,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=27_SinR=12,50,0,4273.8,1121.88,0.0,0,0.0,
[param] INITIAL_NUTRIENTS=2160_[param] LOADING_DOSE=27_SinR=18,50,0,4276.66,1117.27,0.0,0,0.0,
